"TV Show ID","Series Title","Episode Sort Title","Episode Title","Year","Season","Episode","Content Rating","Summary","Rating","Studio","Originally Aired","Directors","Writers","Duration","Added","Updated","Media Video Resolution","Media Video Duration","Media Video Bitrate","Media Video Width","Media Video Height","Media Video Aspect Ratio","Media Video Audio Channels","Media Video Audio Codec","Media Video Video Codec","Media Video Container","Media Video FrameRate","Media Video Profile","Media Video Title"
"6228","The 4400","N/A","Trial By Fire","2004","1","4","TV-PG","The 4400 are attacked by a series of
fire-bombings after Barbara Yates made
their names and addresses known to the
public. Tom, Diana, and Ryland try to
put an end to the bombings at the same
time as Tom tries to deal with the
disturbing behavior of Kyle, and Diana
tries real hard to be a good substitute
mother to Maia. However, the arrival of
a Homeland Security agent from
Washington, Warren Lyttel, makes their
work even harder. Jordan Collier tries
to provide his followers with safe
shelter, but Richard and Lily begin to
question his intentions as the bombings
intensify.","7.2","USA Network","2004-08-01","Nick Gomez","Robert Hewitt Wolfe","0:42:40","09/23/2015","09/23/2015","sd","0:42:40","1137","624","352","1.78","2","ac3","mpeg4","avi","24p","N/A","N/A"
"6229","The 4400","N/A","White Light","2004","1","5","TV-PG","Tom is furious upon finding out that
Lyttel took his son Kyle into custody.
Diana offers him help in getting Kyle
back. Meanwhile, Richard suspects that
Collier is trying to take control of
Lily's life, and as soon as Collier
reveals his intentions, Richard and Lily
leave Arcadia Estates. Elsewhere, Danny
snaps at Shawn when he finds out that he
and Nikki have slept together. Tom and
Diana finally find out what really
happened to the 4400, which leaves a
disturbing question: is this the end -
or just the beginning?","7.4","USA Network","2004-08-08","Tim Hunter","Scott Peters","0:42:55","09/23/2015","09/23/2015","sd","0:42:55","1131","624","352","1.78","2","ac3","mpeg4","avi","24p","N/A","N/A"
"6213","The 4400","N/A","Voices Carry","2005","2","3","TV-PG","Gary Navarro, a minor league baseball
player back after a 30-year absence,
finds that hearing everyone's unspoken
thoughts is driving him to the edge of
madness. When he seeks help from NTAC,
the higher-ups are more interested in
how he can unearth information about
Jordan Collier than how they can assist
Gary with getting his life back. As the
case occupies the majority of his time,
Tom finds himself struggling with his
responsibilities as a single father.
Meanwhile, Kyle starts to get his life
back through the prospect of a new
relationship, Diana finds herself
dealing with the unexpected arrival of
her younger sister April, and as
Richard, Lily, and Isabelle continue
their life on the run, Richard grows
increasingly disturbed by his daughter's
apparent abilities.","7.1","USA Network","2005-06-12","Vincent Misiano","Lisa Melamed","0:43:11","09/23/2015","09/23/2015","sd","0:43:11","1135","640","352","1.85","2","mp3","mpeg4","avi","24p","N/A","N/A"
"6214","The 4400","N/A","Weight of the World","2005","2","4","TV-PG","Someone puts his 4400 ability up for
auction, and the Supreme Court will have
a special session to determine if it's
legal and if the auction can continue.
Diana and Tom are ordered to
investigate. Meanwhile, pop diva Chloe
Granger is at the 4400 Center and claims
that Jordan's book was a revelation to
her. She even cut her tour short because
she felt she needed to come to the 4400
Center and become a student. Jordan
makes sure this new ""recruit"" is well
treated as it will profit the center.
Shawn is working on a recruitment video
for the 4400 Center. Richard and Lily
travel to Montana where they meet with
Eric Papequash, who disappeared in 1955.","7.3","USA Network","2005-06-19","Oz Scott","Scott Peters","0:43:13","09/23/2015","09/23/2015","sd","0:43:13","1135","640","352","1.85","2","mp3","mpeg4","avi","24p","N/A","N/A"
"6215","The 4400","N/A","Suffer the Children","2005","2","5","TV-PG","A school teacher terrifies parents with
her supernatural ability to inspire
artistic students.  Meanwhile, Richard
and Lily are confronted by police, and
Jordan warns Shawn not to overuse his
healing gift.","7.4","USA Network","2005-06-26","Vincent Misiano","Frederick Rappaport","0:43:12","09/23/2015","09/23/2015","sd","0:43:12","1136","640","352","1.85","2","mp3","mpeg4","avi","24p","N/A","N/A"
"6216","The 4400","N/A","As Fate Would Have It","2005","2","6","TV-PG","Maia sees a vision of Jordan Collier's
death. Kyle's frightening blackouts are
disrupting Tom's personal life. Diana is
asked to hand over Maia's diary to NTAC.","7.5","USA Network","2005-07-10","Nick Gomez","Craig Sweeny","0:43:12","09/23/2015","09/23/2015","sd","0:43:12","1136","640","352","1.85","2","mp3","mpeg4","avi","24p","N/A","N/A"
"6217","The 4400","N/A","Life Interrupted","2005","2","7","TV-PG","Tom and Diana track down a man to a
museum, and during the chase, Tom finds
a mysterious lab that only he can see.
Later at the office, Tom finds that all
his 4400 case files are gone, and no one
has ever heard of the 4400.","7.3","USA Network","2005-07-17","Michael Watkins","Ira Steven Behr","0:43:12","09/23/2015","09/23/2015","sd","0:43:12","1136","640","352","1.85","2","mp3","mpeg4","avi","24p","N/A","N/A"
"6218","The 4400","N/A","Carrier","2005","2","8","TV-PG","After living for 8 years in an alternate
world that only Tom and Alana remember
the world with the 4400 has returned as
it was at the second the 8 years
started. A 30 year old 4400 woman wakes
up and finds everybody else in her local
community dead. Maia puts April's love
for her to a test.","7.1","USA Network","2005-07-24","Leslie Libman","Douglas Petrie","0:43:13","09/23/2015","09/23/2015","sd","0:43:13","1135","640","352","1.85","2","mp3","mpeg4","avi","24p","N/A","N/A"
"6219","The 4400","N/A","Rebirth","2005","2","9","TV-PG","A male 4400 originally from Rwanda
repairs bad chromosomes of unborn. Kyle
is utterly despaired as he suddenly
remembers what he did during his
blackout. Rishard attends a co-veteran's
funeral. Diana takes s hard family
decision.","7.0","USA Network","2005-07-31","Milan Cheylov","Lisa Melamed","0:43:12","09/23/2015","09/23/2015","sd","0:43:12","1133","640","352","1.85","2","mp3","mpeg4","avi","24p","N/A","N/A"
"6220","The 4400","N/A","Hidden","2005","2","10","TV-PG","NTAC is keen to find Jordan Collier's
killer as Tom is desperate to find Kyle.","7.2","USA Network","2005-08-07","Vincent Misiano","Frederick Rappaport","0:43:13","09/23/2015","09/23/2015","sd","0:43:13","1132","640","352","1.85","2","mp3","mpeg4","avi","24p","N/A","N/A"
"6221","The 4400","N/A","Lockdown","2005","2","11","TV-PG","On John Colliers' birthday NTAC receives
threatening e-mails and gets attacked by
terror. Kyle is concerned that an
innocent will be convicted for killing
Collier. Maia gets a mysterious
infection and is treated at NTAC.
Isabelle has broken off her special
communication with her mother and
transfers it to her father. At school a
girl is very interested in Kyle.","7.2","USA Network","2005-08-14","Douglas Petrie","Douglas Petrie","0:43:12","09/23/2015","09/23/2015","sd","0:43:12","1133","640","352","1.85","2","mp3","mpeg4","avi","24p","N/A","N/A"
"6222","The 4400","Fifth Page (1)","The Fifth Page (1)","2005","2","12","TV-PG","The authorities led by Dennis Hyland
wants to quarantine every 4400, as
several of them are sick with the same
as Maia. Hunted by bad conscience Kyle
somehow contacts Marsden's girlfriend.","7.1","USA Network","2005-08-21","Scott Peters","Ira Steven Behr - Craig Sweeny","0:43:12","09/23/2015","09/23/2015","sd","0:43:12","1132","640","352","1.85","2","mp3","mpeg4","avi","24p","N/A","N/A"
"6223","The 4400","N/A","Mommy's Bosses (2)","2005","2","13","TV-PG","7 of the 4400 have died and Maia gets
worse all the time Out of suspicion and
despair Diana threatens Dr. Hudson with
a gun. Lily has run away with Isabelle
and Richard pleads he to come back.
Marsdem seems unable to avoid a long
prison term which makes Alison contact
Kyle.","7.8","USA Network","2005-08-28","John Behring","Craig Sweeny - Ira Steven Behr","0:43:12","09/23/2015","09/23/2015","sd","0:43:12","1131","640","352","1.85","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8234","Alias","N/A","Truth Be Told","2001","1","1","TV-14","Sydney Bristow discovers that her job as
an agent for SD-6, a top-secret division
of the CIA, holds some deadly secrets
that threaten the security of the free
world. In spite of being warned against
it, Sydney reveals her secret to her
fiancé, Danny, who later on is murdered.
Sydney finds that her father, Jack, is
also SD-6 and that the group is not part
of the CIA, but actually an enemy of the
United States. Sydney seeks the aid of
the real CIA and is enlisted as a double
agent under the command of operations
officer Vaughn. Her mission now is to
complete her cases at SD-6 while
reporting her findings back to the CIA.
But when Sydney finds out that her
father is also affiliated with the CIA,
she begins to question where his true
allegiances really lie.","7.9","ABC (US)","2001-09-30","J.J. Abrams","J.J. Abrams","1:06:21","09/23/2015","09/23/2015","sd","1:06:21","1469","576","320","1.78","6","ac3","mpeg4","avi","24p","N/A","N/A"
"8235","Alias","N/A","So It Begins","2001","1","2","TV-14","Sydney returns to SD-6 and is assigned
with Dixon to travel to Moscow to
retrieve some stolen files. But when
Sydney discovers that she has
inadvertently given SD-6 access to a
nuclear weapon, she is forced to travel
to Cairo and face a deadly foe.
Meanwhile, Will begins to question the
circumstances surrounding Danny's death,
and Sydney learns of her father's
involvement in the murder.","7.3","ABC (US)","2001-10-07","Ken Olin","J.J. Abrams","0:45:33","09/23/2015","09/23/2015","sd","0:45:33","1073","576","320","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8236","Alias","N/A","Parity","2001","1","3","TV-14","Sydney's life is in mortal danger as she
is sent to Madrid to retrieve a 500
-year-old sketch that contains a set of
numbers and meets up with her deadly
nemesis, K-Directorate agent Anna
Espinosa. Meanwhile, Will delves deeper
into the cause of Danny's death and
discovers a very strange anomaly.","7.3","ABC (US)","2001-10-14","Mikael Salomon","Roberto Orci - Alex Kurtzman","0:42:08","09/23/2015","09/23/2015","sd","0:42:08","1160","576","320","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8237","Alias","Broken Heart","A Broken Heart","2001","1","4","TV-14","Sydney and Dixon go on a dangerous case
involving the safety of the United
Commerce Organization. Francie confronts
Charlie about his secret date with
another woman, and Will continues to get
closer to the truth about Danny's
murder.","7.7","ABC (US)","2001-10-21","Harry Winer","Vanessa Taylor","0:43:29","09/23/2015","09/23/2015","sd","0:43:29","1119","576","320","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8238","Alias","Doppelganger","Doppelgänger","2001","1","5","TV-14","Sydney's secret double agent status is
jeopardized after she smuggling a
biotech engineer into SD-6 from her
mission in Berlin. Will meets a woman
who confesses that she was having an
affair with Danny shortly before his
death. Vaughn informs Sydney that her
father may be working for a third secret
operative agency.","7.6","ABC (US)","2001-10-28","Ken Olin","Daniel Arkin","0:44:52","09/23/2015","09/23/2015","sd","0:44:52","1070","576","320","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8239","Alias","N/A","Reckoning","2001","1","6","TV-14","Sydney goes undercover in a mental
institution to get information from
Shepard, a man who has been
unconsciously programmed to be a deadly
assassin. Meanwhile, after Sydney
becomes convinced that her father was
responsible for the death of her mother
20 years earlier. Will discovers the
true identity of the woman who claimed
having an affair with Danny and Francie
is relieved to learn that Charlie is not
having an affair other woman. Marshall
finds the computer worm planted in the
SD-6 mainframe by the CIA.","7.5","ABC (US)","2001-11-18","Daniel Attias","Jesse Alexander","0:44:44","09/23/2015","09/23/2015","sd","0:44:44","1090","576","320","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8240","Alias","N/A","Color-Blind","2001","1","7","TV-14","While helping Shepard escape from the
asylum in Bucharest, Sydney discovers
the shocking connection he has with her
past. Meanwhile, after tracking the
computer virus secretly planted by the
CIA, Sloane is confronted by Alliance
representative Alain Christophe, who
suggests that one or more moles may have
infiltrated SD-6. Will continues to
investigate the woman claiming to be
Danny's mistress and Sydney finds out
the truth about her father's involvement
in her mother's death 20 years earlier.","7.6","ABC (US)","2001-11-25","Jack Bender","Roberto Orci - Alex Kurtzman","0:44:04","09/23/2015","09/23/2015","sd","0:44:04","1107","576","320","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8241","Alias","N/A","Time Will Tell","2001","1","8","TV-14","Sydney must undergo an extensive lie
detector test to satisfy Sloane's
frantic search for the SD-6 mole.
Meanwhile, with nemesis Anna Espinosa
following her every move, Sydney seeks
out the connection that a device may
have to the 500-year-old prophetic
Rambaldi sketch. The mystery of Kate
Jones deepens as Will continues to
investigate Danny's death; and Sydney
discovers that a keepsake from her
mother Laura contains more disturbing
connections into Jack's past alliances.","7.3","ABC (US)","2001-12-02","Perry Lang","Jeff Pinkner","0:44:46","09/23/2015","09/23/2015","sd","0:44:46","1089","576","320","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8242","Alias","N/A","Mea Culpa","2001","1","9","TV-14","Sydney's life is placed in mortal danger
when Sloane is informed by his superior
that she is the SD-6 mole. Meanwhile,
Dixon's life hangs in the balance after
he is shot on a mission, and Will
realizes that his discovery of Kate
Jones' pin could uncover some unexpected
information.","7.4","ABC (US)","2001-12-09","Ken Olin","Debra J. Fisher - Erica Messer","0:45:08","09/23/2015","09/23/2015","sd","0:45:08","1081","576","320","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8243","Alias","N/A","Spirit","2001","1","10","TV-14","Sydney briefs her CIA handler, Agent
Vaughn, on her recent captivity at SD-6
and is surprised when he unexpectedly
gives her a Christmas gift. Meanwhile
Jack has to find a way to save Sydney
when he discovers that Sloane has
ordered her tortured and killed for
being the suspected SD-6 mole. Will may
be making the mistake of his life when
he begins to research a name heard on a
mysterious audiocassette -- SD-6.","7.5","ABC (US)","2001-12-16","Jack Bender","J.J. Abrams - Vanessa Taylor","0:44:30","09/23/2015","09/23/2015","sd","0:44:30","1094","576","320","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8244","Alias","Confession","The Confession","2002","1","11","TV-14","Sydney is grateful and proud of her
father after he saves her life while on
a case in Havana. But her admiration is
short lived when Vaughn discovers
further evidence that Jack may have been
responsible for the deaths of over a
dozen CIA officers many years earlier.","7.6","ABC (US)","2002-01-06","Harry Winer","J.J. Abrams - Daniel Arkin","0:44:40","09/23/2015","09/23/2015","sd","0:44:40","1094","576","320","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8245","Alias","Box (1)","The Box (1)","2002","1","12","TV-14","When armed intruders take over SD-6, led
by McKenas Cole, a man bent on exacting
revenge on ex-boss Sloane, Sydney and
Jack must work together to save their
colleagues. Meanwhile, Will fears that
his investigation of SD-6 and its link
to the murder of Eloise Kurtz is placing
his life in jeopardy.","7.4","ABC (US)","2002-01-20","Jack Bender","Jesse Alexander - John Eisendrath","0:45:04","09/23/2015","09/23/2015","sd","0:45:04","1084","576","320","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8246","Alias","Box (2)","The Box (2)","2002","1","13","TV-14","Vaughn disobeys orders and attempts to
help Sydney and Jack avert the
destruction of SD-6 headquarters and all
its occupants. Meanwhile, McKenas Cole
continues his vendetta against Sloane
and searches for a mysterious device. A
desperate but determined woman convince
Will to continue his investigation of
SD-6 and the imprisonment of David
McNeil.","7.5","ABC (US)","2002-02-10","Jack Bender","Jesse Alexander - John Eisendrath","0:45:22","09/23/2015","09/23/2015","sd","0:45:22","1079","608","336","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8247","Alias","Coup","The Coup","2002","1","14","TV-14","Sydney and Dixon are sent to Las Vegas
to gather information from a
K-Directorate agent who has ties to the
group that attacked and nearly destroyed
SD-6. Meanwhile, Sydney learns some
shocking news about Francie's fiancé,
Charlie, Will begins his journey in
discovering what SD-6 really is, and
Jack continues to try to be more of a
father to Sydney when he helps her
decide whether or not to continue with
graduate school.","7.6","ABC (US)","2002-02-24","Tom Wright","Alex Kurtzman - Roberto Orci","0:45:02","09/23/2015","09/23/2015","sd","0:45:02","1089","608","336","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8248","Alias","N/A","Page 47","2002","1","15","TV-14","Vaughn asks Sydney to use her friendship
with Sloane's wife, Emily, to gain
access to a mysterious Rambaldi book
which happens to be under lock and key
in a safe at Sloane's home. Meanwhile,
Will is kidnapped and told to drop his
investigation of SD-6 or risk the lives
of his family and friends, including
Sydney's.","7.6","ABC (US)","2002-03-03","Ken Olin","J.J. Abrams - Jeff Pinkner","0:45:06","09/23/2015","09/23/2015","sd","0:45:06","1085","608","336","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8249","Alias","Prophecy","The Prophecy","2002","1","16","TV-14","Sydney is tested by the DSR to discover
her mysterious link to a chilling 500
-year-old picture and prophecy foretold
in a Rambaldi manuscript. Meanwhile,
after uncovering the identity of the
rogue group leader, ""The Man,"" Sloane
learns through fellow Alliance of Twelve
member Edward Poole that a close friend
may be in cahoots with the enemy.","7.6","ABC (US)","2002-03-10","Davis Guggenheim","John Eisendrath","0:44:46","09/23/2015","09/23/2015","sd","0:44:46","1093","608","336","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8250","Alias","N/A","Q & A","2002","1","17","TV-14","While the FBI detains and questions
Sydney about her past and possible ties
to a mysterious Rambaldi doomsday
prophecy, Vaughn and Jack must race to
free her and find a way to clear her
name before her cover is blown and SD-6
is made aware of the situation. Once the
rescue op has been launched, in her
quest to prove her innocence, Sydney
shocks even her usually unflappable
father when she makes a chilling
discovery that may unravel the mystery
of the 500-year-old prophecy – she finds
proof that Rambaldi's writings may hold
more truth about an alleged weapon of
mass destruction - and the fate of her
own family.","7.7","ABC (US)","2002-03-17","Ken Olin","J.J. Abrams","0:44:47","09/23/2015","09/23/2015","sd","0:44:47","1092","608","336","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8251","Alias","N/A","Masquerade","2002","1","18","TV-14","While on a case to track the activities
of Khasinau, a.k.a. ""The Man,"" Sydney
runs into her ex-lover, Noah Hicks, who
broke her heart and left without saying
goodbye five years earlier. Meanwhile,
Sydney tells Sloane that she wants to
find her mother; Jack is ordered to see
CIA psychiatrist Dr. Barnett to help him
deal with his churning emotions after
discovering that his wife may still be
alive; and Will and Francie become
suspicious of Sydney's activities after
finding one of her airline ticket stubs.","7.4","ABC (US)","2002-04-07","Carl Zisk","Roberto Orci - Alex Kurtzman","0:45:08","09/23/2015","09/23/2015","sd","0:45:08","1084","608","336","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8252","Alias","N/A","Snowman","2002","1","19","TV-14","Sloane begins to question where Noah's
true allegiances lie, as passion ignites
between Sydney and Noah. Meanwhile,
Sydney continues to uncover new
information about her mother, which
disturbes Jack. A rogue assassin known
as the Snowman is dispatched by
K-Directorate to kill Khasinau, a.k.a.
""The Man."" Will and Francie confront
Sydney about the mysterious airline
ticket stub found in her jacket.","7.7","ABC (US)","2002-04-14","Carl Zisk","Jesse Alexander - Jeff Pinkner","0:44:47","09/23/2015","09/23/2015","sd","0:44:47","1093","608","336","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8253","Alias","Solution","The Solution","2002","1","20","TV-14","In order to catch Khasinau and get
closer to finding her mother, Sydney and
Vaughn set up an undercover transaction
for a Rambaldi artifact with Khasinau's
representative, Mr. Sark. But Sydney's
cover may be compromised when a SD-6
agent is sent in to thwart the sale.
Meanwhile, Will is enticed to continue
his investigation of SD-6 when he learns
the identity of one of his kidnappers.
Emily tells Sydney that she knows about
SD-6, which forces Sloane to make the
most difficult decision of his life.","7.5","ABC (US)","2002-04-21","Daniel Attias","John Eisendrath","0:44:15","09/23/2015","09/23/2015","sd","0:44:15","1105","608","336","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8254","Alias","N/A","Rendezvous","2002","1","21","TV-14","Will's life is about to change as he is
sent to find the person responsible for
leaking information to him about SD-6.
Meanwhile, Sloane finds himself on the
cusp of finally tracking down Khasinau
when SD-6 captures ""The Man's"" right-
hand man, Mr. Sark. Dixon becomes
suspicious of Sydney's activities.","7.9","ABC (US)","2002-05-05","Ken Olin","Erica Messer - Debra J. Fisher","0:45:09","09/23/2015","09/23/2015","sd","0:45:09","1083","608","336","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8255","Alias","N/A","Almost Thirty Years","2002","1","22","TV-14","In order to save Will's life, Sydney and
Vaughn must destroy a familiar looking
Rambaldi device, while Jack makes a
risky deal with Khasinau's
representative, Mr. Sark. Meanwhile, the
CIA believes that one of their own is a
mole for ""The Man""; the Alliance comes
to a decision regarding the fate of
Emily Sloane; Dixon's suspicions about
Sydney intensify; and Sydney finds
herself face-to-face with ""The Man.""","8.2","ABC (US)","2002-05-12","J.J. Abrams","J.J. Abrams","0:45:03","09/23/2015","09/23/2015","sd","0:45:03","1086","608","336","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8275","Alias","Enemy Walks In","The Enemy Walks In","2002","2","1","TV-14","Sydney finds herself face-to-face with
her mother, whose intentions for her
daughter are made chillingly clear.
Meanwhile Sydney continues her search
for Vaughn, not knowing if he is dead or
alive after being swept away by a wall
of water in Taipei. Will's life is
forever changed when he learns the truth
about SD-6 and Sydney's life as a double
agent. Dixon must decide whether or not
to inform Sloane of Sydney's suspicious
activities.","7.9","ABC (US)","2002-09-29","Ken Olin","J.J. Abrams","0:43:38","09/23/2015","09/23/2015","sd","0:43:38","1126","640","368","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8276","Alias","N/A","Trust Me","2002","2","2","TV-14","Sydney must decide whether her mother's
goodwill gesture was sincere or an
attempt to kill her. Will witnesses
Francie discussing her restaurant plans
with a man whose affiliations are
questionable, and Sloane is made a full
partner in the malevolent Alliance of
Twelve.","7.6","ABC (US)","2002-10-06","Craig Zisk","John Eisendrath","0:43:38","09/23/2015","09/23/2015","sd","0:43:38","1120","640","368","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"8277","Alias","N/A","Cipher","2002","2","3","TV-14","Sydney must outwit Sark in order to find
a crucial piece of intel. Meanwhile,
Jack faces Sydney's mother for the first
time in almost 20 years. Will finally
meets Vaughn and Sloane is haunted by
his wife's death.","7.6","ABC (US)","2002-10-13","Daniel Attias","Alex Kurtzman - Roberto Orci","0:43:36","09/23/2015","09/23/2015","sd","0:43:36","1117","640","368","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
